17	38		
0	1	0	150
0	2	0	120
0	3	0	140
0	4	0	75
0	5	0	25
0	6	0	150
0	7	0	20
0	8	0	50
0	9	0	45
0	10	0	20
1	11	-4100	10000
1	12	0	10000
2	11	-8310	10000
2	13	0	10000
3	11	-5200	10000
3	14	0	10000
4	11	-5900	10000
4	15	0	10000
5	12	-5900	10000
5	13	0	10000
6	12	-3500	10000
6	14	0	10000
7	12	-7100	10000
7	15	0	10000
8	13	-4500	10000
8	14	0	10000
9	13	-5400	10000
9	15	0	10000
10	14	-2000	10000
10	15	0	10000
12	16	0	150
13	16	0	145
14	16	0	340
15	16	0	160
11	12	0	180
12	13	0	180
13	14	0	180
14	15	0	180
