31	92		
0	3	1	1
0	4	1	1
0	5	1	1
0	7	1	1
0	8	1	1
1	3	1	1
1	4	1	1
1	5	1	1
1	7	1	1
1	8	1	1
1	21	1	1
1	23	1	1
1	24	1	1
2	4	1	1
2	5	1	1
2	7	1	1
2	8	1	1
2	21	1	1
2	30	1	1
3	7	1	1
3	8	1	1
3	9	1	1
3	10	1	1
3	11	1	1
4	8	1	1
4	9	1	1
4	10	1	1
4	11	1	1
5	7	1	1
5	8	1	1
5	9	1	1
5	10	1	1
5	11	1	1
6	7	1	1
6	8	1	1
6	9	1	1
6	10	1	1
7	9	1	1
7	10	1	1
7	12	1	1
7	13	1	1
7	14	1	1
8	9	1	1
8	12	1	1
8	14	1	1
9	12	1	1
9	15	1	1
9	16	1	1
10	13	1	1
10	14	1	1
10	15	1	1
10	16	1	1
11	12	1	1
11	13	1	1
11	15	1	1
11	16	1	1
12	16	1	1
12	17	1	1
12	18	1	1
12	19	1	1
12	20	1	1
13	15	1	1
13	16	1	1
13	17	1	1
13	18	1	1
13	20	1	1
14	15	1	1
14	17	1	1
14	18	1	1
14	19	1	1
14	20	1	1
15	17	1	1
15	18	1	1
15	19	1	1
15	20	1	1
16	17	1	1
16	18	1	1
16	20	1	1
21	22	1	1
22	24	1	1
23	24	1	1
24	17	1	1
24	25	1	1
24	26	1	1
25	27	1	1
26	17	1	1
26	28	1	1
27	17	1	1
27	19	1	1
28	19	1	1
29	19	1	1
30	23	1	1
